time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-07T18:00:58.220Z,37.4288333,-118.4978333,6.22,2.57,ml,34,60,0.05486,0.06,nc,nc73571176,2021-08-24T21:34:30.040Z,"8km NNW of West Bishop, CA",earthquake,0.2,0.58,0.106,15,reviewed,nc,nc
2021-06-07T17:42:14.810Z,32.71636963,-100.6894293,6.431599935,2.7,ml,16,58,0.06045001225,0.2,tx,tx2021lcfb,2021-08-24T21:34:31.040Z,"11 km NE of Hermleigh, Texas",earthquake,1.184761508,2.546383191,0.1,8,reviewed,tx,tx
2021-06-07T17:37:35.670Z,17.9615,-66.8285,16,2.7,md,16,190,0.2159,0.26,pr,pr2021158005,2021-06-07T18:01:30.923Z,"3 km SSW of Indios, Puerto Rico",earthquake,0.83,0.69,0.08,11,reviewed,pr,pr
2021-06-07T17:28:50.367Z,-8.3185,112.4423,116.36,4.1,mb,,84,1.698,1.02,us,us7000eatv,2021-08-24T21:34:31.040Z,"18 km SSW of Sumberpucung, Indonesia",earthquake,8.1,2.3,0.14,14,reviewed,us,us
2021-06-07T16:25:46.956Z,52.4295,-178.9488,206.47,3.8,mb,,79,0.621,0.28,us,us7000eayi,2021-08-24T21:34:26.040Z,"170 km WNW of Adak, Alaska",earthquake,7.6,8.3,0.098,44,reviewed,us,us
2021-06-07T16:21:30.938Z,-17.8504,-177.7087,614.56,4.3,mb,,78,4.039,0.64,us,us7000ec3e,2021-08-24T21:33:17.040Z,"Fiji region",earthquake,12.3,10,0.142,14,reviewed,us,us
2021-06-07T16:16:01.370Z,33.1746667,-115.6415,3.42,2.85,ml,70,32,0.01798,0.22,ci,ci39928208,2021-08-24T21:39:13.860Z,"13km WNW of Calipatria, CA",earthquake,0.16,0.27,0.155,128,reviewed,ci,ci
2021-06-07T16:14:04.194Z,30.9133,142.3077,10,4.2,mb,,153,3.05,0.76,us,us7000ec3a,2021-08-24T21:33:18.040Z,"Izu Islands, Japan region",earthquake,10.7,1.9,0.215,6,reviewed,us,us
2021-06-07T16:09:45.585Z,-25.9686,-71.1852,29.84,4.1,ml,,182,0.556,0.54,us,us7000eat0,2021-08-24T21:34:32.040Z,"93 km SW of Taltal, Chile",earthquake,5.3,10,0.066,30,reviewed,us,us
2021-06-07T16:07:29.030Z,37.4301667,-118.5013333,5.61,3.35,ml,36,63,0.05765,0.08,nc,nc73571146,2021-08-24T21:34:33.040Z,"9km ENE of Round Valley, CA",earthquake,0.22,1.42,0.25,54,reviewed,nc,nc
